小区名,区县,地址,楼层高度,建造年限
恒大中航城(二期),,顺庆清泉坝澄泉路,高层(共27层),2018年建造
恒大中航城(二期),,顺庆清泉坝澄泉路,中层(共27层),2015年建造
蓝光雍锦半岛,,顺庆清泉坝澄泉路159号,高层(共32层),2018年建造
恒大中航城(二期),,顺庆清泉坝澄泉路,中层(共27层),2020年建造
梧桐苑,,顺庆市公安局玉秀路30号,低层(共7层),2017年建造
鸿通文德中央大境,,顺庆市公安局潆华中路二段,低层(共26层),2019年建造
塞维利亚,,顺庆市政新区清泉寺北路23号,低层(共6层),2014年建造
尚水佳苑,,顺庆市政新区规划八路,中层(共23层),2016年建造
尚水佳苑,,顺庆市政新区规划八路,中层(共23层),2016年建造
绸厂上院宿舍,,顺庆火车站延安路,共5层,2000年建造
钰岭锦城,,顺庆市政新区潆康东路15号,低层(共21层),2015年建造
蓝光雍锦半岛,,顺庆清泉坝澄泉路159号,低层(共29层),2020年建造
英伦城邦,,顺庆白土坝白土坝路288号,高层(共33层),2014年建造
印象森林,,顺庆市政新区环都大道一段59号,低层(共33层),2013年建造
天府明珠,,顺庆市政新区滨江北路三段56号,低层(共31层),2014年建造
凌凯春天,,顺庆市政新区茂源北路173号,低层(共18层),2014年建造
鸿升凯旋城,,顺庆滨江大道滨江北路一段,中层(共24层),2015年建造
锦上花苑,,顺庆市政新区清泉寺南路3号,低层(共17层),2011年建造
印象森林,,顺庆市政新区环都大道一段59号,低层(共33层),2015年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,低层(共31层),2015年建造
鸿通南充院子,,顺庆华凤佳华路219号,低层(共22层),2018年建造
春风玫瑰园,,顺庆市政新区万年西路93号,高层(共24层),2015年建造
瑞地楠郡,,顺庆市政新区清泉寺北路216号,低层(共22层),2015年建造
滨江首座(顺庆),,顺庆滨江大道滨江中路一段407号,低层(共32层),2013年建造
鸿通春天花城,,顺庆华凤站前大道一段6号,低层(共13层),2017年建造
金鸿城三期归谷,,顺庆华凤锦程路327号,中层(共18层),2016年建造
南充公馆,,顺庆市政新区万年东路36号,中层(共11层),2011年建造
欧香小镇,,顺庆白土坝潆华中路二段429号,低层(共31层),2016年建造
绿地城上海滩花园(三期),,顺庆火车北站潆华北路,低层(共26层),2016年建造
欧香小镇,,顺庆白土坝潆华中路二段429号,中层(共32层),2016年建造
锦上花苑,,顺庆市政新区清泉寺南路3号,低层(共17层),2015年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,低层(共28层),2013年建造
蓝光COCO香江二期,,顺庆清泉坝清池路19号,低层(共31层),2015年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,低层(共27层),2014年建造
宏宇心悦国际,,顺庆市政新区玉秀路11号,低层(共18层),2016年建造
金树湾,,顺庆市政新区镇江西路二段133号,低层(共24层),2015年建造
恒大中航城(二期),,顺庆清泉坝澄泉路,低层(共26层),2016年建造
仁和春天花园,,顺庆华凤潆华南路一段53号,共3层,2015年建造
绿地城上海滩花园(三期),,顺庆火车北站潆华北路,低层(共17层),2016年建造
绿地城上海滩花园(一区),,顺庆火车北站潆华北路一段,低层(共25层),2015年建造
凌凯春天,,顺庆市政新区茂源北路173号,低层(共18层),2014年建造
中南世纪城,,顺庆滨江大道清澜路二段1号,低层(共28层),2015年建造
蓝光COCO香江,,顺庆清泉坝饮泉路36号,低层(共26层),2016年建造
香槟小城(二区),,顺庆火车站伍家坡街76号,低层(共26层),2014年建造
南充恒大中航城,,顺庆清泉坝清嘉路168号,中层(共33层),2015年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,中层(共14层),2017年建造
南充恒大中航城,,顺庆清泉坝清嘉路168号,共1层,2016年建造
锦上花苑,,顺庆市政新区清泉寺南路3号,中层(共11层),2015年建造
佳信阳光香缇,,顺庆市政新区镇江西路二段101号,中层(共18层),2015年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,低层(共32层),2015年建造
蓝光COCO香江,,顺庆清泉坝饮泉路36号,低层(共26层),2017年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,低层(共32层),2015年建造
锦绣华庭(顺庆区),,顺庆白土坝华亭路26号,中层(共30层),2017年建造
印象森林,,顺庆市政新区环都大道一段59号,低层(共33层),2015年建造
欧香小镇,,顺庆白土坝潆华中路二段429号,低层(共31层),2016年建造
宏宇心悦国际,,顺庆市政新区玉秀路11号,低层(共18层),2016年建造
佳信阳光香缇,,顺庆市政新区镇江西路二段101号,中层(共18层),2015年建造
锦绣华庭(顺庆区),,顺庆白土坝华亭路26号,中层(共30层),2017年建造
欧香小镇,,顺庆白土坝潆华中路二段429号,低层(共31层),2016年建造
锦绣华庭(顺庆区),,顺庆白土坝华亭路26号,中层(共30层),2017年建造
欧香小镇,,顺庆白土坝潆华中路二段429号,低层(共31层),2016年建造
锦绣华庭(顺庆区),,顺庆白土坝华亭路26号,中层(共30层),2017年建造
欧香小镇,,顺庆白土坝潆华中路二段429号,低层(共31层),2016年建造
欧香小镇,,顺庆白土坝潆华中路二段429号,低层(共31层),2016年建造
欧香小镇,,顺庆白土坝潆华中路二段429号,低层(共31层),2016年建造
欧香小镇,,顺庆白土坝潆华中路二段429号,低层(共33层),2016年建造
欧香小镇,,顺庆白土坝潆华中路二段429号,低层(共31层),2016年建造
欧香小镇,,顺庆白土坝潆华中路二段429号,低层(共31层),2016年建造
滨江天地,,顺庆市政新区规划八路,低层(共31层),2016年建造
马电花园,,顺庆市政新区滨江北路二段72号,低层(共26层),2015年建造
金树湾,,顺庆市政新区镇江西路二段133号,中层(共18层),2014年建造
锦上花苑,,顺庆市政新区清泉寺南路3号,低层(共18层),2015年建造
锦上花苑,,顺庆市政新区清泉寺南路3号,低层(共18层),2015年建造
锦上花苑,,顺庆市政新区清泉寺南路3号,低层(共18层),2013年建造
锦绣华庭(顺庆区),,顺庆白土坝华亭路26号,中层(共30层),2017年建造
绿地城上海滩花园(三期),,顺庆火车北站潆华北路,中层(共27层),2016年建造
绿地城上海滩花园(一区),,顺庆火车北站潆华北路一段,中层(共25层),2016年建造
恒大中航城(二期),,顺庆清泉坝澄泉路,低层(共27层),2020年建造
欧香小镇,,顺庆白土坝潆华中路二段429号,中层(共32层),2017年建造
中南世纪城,,顺庆滨江大道清澜路二段1号,低层(共28层),2018年建造
蓝光COCO香江,,顺庆清泉坝饮泉路36号,低层(共25层),2016年建造
天府明珠,,顺庆市政新区滨江北路三段56号,低层(共18层),2014年建造
海润滨江,,顺庆滨江大道滨江中路一段,中层(共31层),2015年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,中层(共32层),2017年建造
南充公馆,,顺庆市政新区万年东路36号,中层(共10层),2016年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,中层(共32层),2015年建造
海润滨江,,顺庆滨江大道滨江中路一段,低层(共25层),2015年建造
锦上花苑,,顺庆市政新区清泉寺南路3号,中层(共11层),2013年建造
尚水佳苑,,顺庆市政新区规划八路,中层(共30层),2013年建造
春风玫瑰园,,顺庆市政新区万年西路93号,中层(共11层),2013年建造
泰合尚渡,,顺庆金鱼岭滨江中路一段97号,中层(共33层),2013年建造
春风玫瑰园,,顺庆市政新区万年西路93号,低层(共10层),2015年建造
蓝光雍锦半岛,,顺庆清泉坝澄泉路159号,低层(共31层),2018年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,低层(共27层),2014年建造
泰合尚渡,,顺庆金鱼岭滨江中路一段97号,中层(共32层),2015年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,低层(共32层),2015年建造
尚品观邸,,顺庆市政新区镇江西路36号,中层(共26层),2013年建造
印象森林,,顺庆市政新区环都大道一段59号,中层(共32层),2015年建造
恒大绿洲,,顺庆恒大绿洲府荆大道南段26号,低层(共32层),2016年建造
天府明珠,,顺庆市政新区滨江北路三段56号,低层(共32层),2016年建造
锦上花苑,,顺庆市政新区清泉寺南路3号,中层(共18层),2015年建造
泰合青年城,,顺庆滨江大道胜利路,中层(共27层),2017年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,低层(共30层),2014年建造
泰合青年城,,顺庆滨江大道胜利路,中层(共33层),2016年建造
佳信阳光香缇,,顺庆市政新区镇江西路二段101号,低层(共6层),2015年建造
恒河罗曼威森,,顺庆华凤北湖路99号,中层(共18层),2014年建造
恒大中航城(二期),,顺庆清泉坝澄泉路,中层(共26层),2016年建造
锦上花苑,,顺庆市政新区清泉寺南路3号,低层(共17层),2014年建造
宝信金色广场,,顺庆华凤华生西路16号,低层(共32层),2016年建造
龙吟锦城,,顺庆金鱼岭水郡路41号,中层(共17层),2014年建造
中南世纪城,,顺庆滨江大道清澜路二段1号,低层(共27层),2017年建造
中南世纪城,,顺庆滨江大道清澜路二段1号,中层(共27层),2016年建造
金科集美天宸(二期),,顺庆清泉坝清池路126号,低层(共32层),2019年建造
蓝光COCO香江,,顺庆清泉坝饮泉路36号,中层(共33层),2015年建造
北岭颐园(北区),,顺庆白土坝潆华南路2段68号,中层(共6层),2015年建造
中南世纪城,,顺庆滨江大道清澜路二段1号,低层(共26层),2016年建造
柏林春天,,顺庆市政新区锦亭路187号,高层(共17层),2014年建造
锦绣华庭(顺庆区),,顺庆白土坝华亭路26号,中层(共30层),2017年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,低层(共32层),2015年建造
恒大绿洲,,顺庆恒大绿洲府荆大道南段26号,低层(共32层),2014年建造
锦上花苑,,顺庆市政新区清泉寺南路3号,中层(共16层),2014年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,低层(共31层),2014年建造
鸿通春天花城,,顺庆华凤站前大道一段6号,中层(共11层),2016年建造
锦绣华庭(顺庆区),,顺庆白土坝华亭路26号,中层(共30层),2017年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,低层(共32层),2015年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,低层(共27层),2014年建造
锦绣华庭(顺庆区),,顺庆白土坝华亭路26号,中层(共30层),2017年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,低层(共32层),2015年建造
绿地城上海滩花园(二区),,顺庆火车北站潆华北路二段,低层(共28层),2013年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,低层(共32层),2019年建造
南充恒大中航城,,顺庆清泉坝清嘉路168号,中层(共29层),2015年建造
蓝光COCO香江二期,,顺庆清泉坝清池路19号,中层(共27层),2016年建造
海润滨江,,顺庆滨江大道滨江中路一段,中层(共28层),2013年建造
美宇凤凰城,,顺庆市政新区四海街81号,中层(共28层),2014年建造
南充恒大中航城,,顺庆清泉坝清嘉路168号,低层(共27层),2018年建造
中南世纪城,,顺庆滨江大道清澜路二段1号,低层(共27层),2016年建造
泰合尚渡,,顺庆金鱼岭滨江中路一段97号,中层(共33层),2014年建造
天府明珠,,顺庆市政新区滨江北路三段56号,中层(共18层),2014年建造
美宇凤凰城,,顺庆市政新区四海街81号,高层(共18层),2013年建造
金色愿景,,顺庆市政新区环都大道二段17号,高层(共25层),2015年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,中层(共32层),2015年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,中层(共16层),2013年建造
佳信阳光香缇,,顺庆市政新区镇江西路二段101号,高层(共6层),2015年建造
马电花园,,顺庆市政新区滨江北路二段72号,中层(共11层),2014年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,中层(共30层),2014年建造
春风玫瑰园,,顺庆市政新区万年西路93号,中层(共24层),2016年建造
天府明珠,,顺庆市政新区滨江北路三段56号,中层(共19层),2015年建造
天府明珠,,顺庆市政新区滨江北路三段56号,中层(共18层),2016年建造
和锦名苑,,顺庆市政新区清泉寺南路31号,中层(共11层),2013年建造
恒大中航城(二期),,顺庆清泉坝澄泉路,中层(共17层),2018年建造
鸿通南充院子,,顺庆华凤佳华路219号,低层(共11层),2016年建造
悠山丽景,,顺庆华凤潆华南路96号,中层(共15层),2015年建造
滨江学府,,顺庆火车站滨江北路一段,低层(共29层),2021年建造
天府明珠,,顺庆市政新区滨江北路三段56号,低层(共31层),2011年建造
尚品观邸,,顺庆市政新区镇江西路36号,低层(共26层),2014年建造
石油新城东二区,,顺庆市政新区镇江东路二段17号,低层(共6层),2013年建造
春风玫瑰园,,顺庆市政新区万年西路93号,中层(共11层),2014年建造
欧香小镇,,顺庆白土坝潆华中路二段429号,高层(共33层),2017年建造
尚水佳苑,,顺庆市政新区规划八路,低层(共23层),2016年建造
鸿通春天花城,,顺庆华凤站前大道一段6号,高层(共11层),2015年建造
中南世纪城,,顺庆滨江大道清澜路二段1号,低层(共27层),2015年建造
绿地城上海滩花园(三期),,顺庆火车北站潆华北路,中层(共29层),2016年建造
蓝光COCO香江,,顺庆清泉坝饮泉路36号,中层(共33层),2016年建造
悠山丽景,,顺庆华凤潆华南路96号,中层(共6层),2015年建造
春风玫瑰园,,顺庆市政新区万年西路93号,低层(共11层),2009年建造
绿地城上海滩花园(三期),,顺庆火车北站潆华北路,低层(共27层),2016年建造
瑞露嘉都彼岸,,顺庆南门坝文峰街二段33号,中层(共28层),2013年建造
博雅豪庭,,顺庆白土坝潆华南路二段158号,中层(共25层),2017年建造
博雅豪庭,,顺庆白土坝潆华南路二段158号,中层(共25层),2014年建造
绿地城上海滩花园(一区),,顺庆火车北站潆华北路一段,低层(共25层),2016年建造
博雅豪庭,,顺庆白土坝潆华南路二段158号,中层(共31层),2017年建造
北岭颐园(北区),,顺庆白土坝潆华南路2段68号,中层(共8层),2017年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,中层(共32层),2015年建造
鸿通南充院子,,顺庆华凤佳华路219号,低层(共11层),2016年建造
天府明珠,,顺庆市政新区滨江北路三段56号,中层(共18层),2016年建造
和锦名苑,,顺庆市政新区清泉寺南路31号,中层(共11层),2013年建造
博雅豪庭,,顺庆白土坝潆华南路二段158号,中层(共25层),2017年建造
博雅豪庭,,顺庆白土坝潆华南路二段158号,中层(共25层),2014年建造
鸿通南充院子,,顺庆华凤佳华路219号,低层(共11层),2016年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,中层(共32层),2015年建造
天府明珠,,顺庆市政新区滨江北路三段56号,中层(共18层),2016年建造
博雅豪庭,,顺庆白土坝潆华南路二段158号,中层(共25层),2017年建造
博雅豪庭,,顺庆白土坝潆华南路二段158号,中层(共25层),2014年建造
鸿通南充院子,,顺庆华凤佳华路219号,低层(共11层),2016年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,中层(共32层),2015年建造
天府明珠,,顺庆市政新区滨江北路三段56号,中层(共18层),2016年建造
天府明珠,,顺庆市政新区滨江北路三段56号,中层(共18层),2016年建造
天府明珠,,顺庆市政新区滨江北路三段56号,中层(共18层),2016年建造
蓝光COCO香江,,顺庆清泉坝饮泉路36号,低层(共26层),2016年建造
博雅豪庭,,顺庆白土坝潆华南路二段158号,中层(共25层),2017年建造
恒大中航城(二期),,顺庆清泉坝澄泉路,中层(共24层),2019年建造
铁投锦华府,,顺庆华凤锦程路108号,低层(共26层),2012年建造
绿地城上海滩花园(一区),,顺庆火车北站潆华北路一段,低层(共25层),2016年建造
青山岭地,,顺庆白土坝西华路二段117号,低层(共6层),2013年建造
天乙华府,,顺庆滨江大道滨江中路1段501号,中层(共6层),2013年建造
金科集美天宸(一期),,顺庆清泉坝清嘉路282号,低层(共29层),2019年建造
恒大绿洲,,顺庆恒大绿洲府荆大道南段26号,高层(共32层),2014年建造
欧香小镇,,顺庆白土坝潆华中路二段429号,中层(共31层),2017年建造
蓝光香江国际,,顺庆南门坝南门北街80号,低层(共34层),2013年建造
蓝光COCO香江二期,,顺庆清泉坝清池路19号,低层(共27层),2019年建造
马电花园,,顺庆市政新区滨江北路二段72号,高层(共11层),2014年建造
恒大绿洲,,顺庆恒大绿洲府荆大道南段26号,中层(共32层),2014年建造
金科集美天宸(一期),,顺庆清泉坝清嘉路282号,低层(共25层),2020年建造
锦上花苑,,顺庆市政新区清泉寺南路3号,中层(共17层),2015年建造
蓝光COCO香江二期,,顺庆清泉坝清池路19号,低层(共30层),2020年建造
锦上花苑,,顺庆市政新区清泉寺南路3号,中层(共18层),2014年建造
蓝光COCO香江二期,,顺庆清泉坝清池路19号,低层(共27层),2018年建造
恒大绿洲,,顺庆恒大绿洲府荆大道南段26号,高层(共32层),2013年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,低层(共32层),2010年建造
美宇凤凰城,,顺庆市政新区四海街81号,低层(共6层),2013年建造
印象森林,,顺庆市政新区环都大道一段59号,中层(共6层),2013年建造
中南世纪城,,顺庆滨江大道清澜路二段1号,中层(共27层),2017年建造
景上云天,,顺庆南门坝福利街33号,高层(共11层),2014年建造
中南世纪城,,顺庆滨江大道清澜路二段1号,低层(共25层),2015年建造
欧香小镇,,顺庆白土坝潆华中路二段429号,低层(共6层),2017年建造
博雅豪庭,,顺庆白土坝潆华南路二段158号,中层(共25层),2014年建造
锦上花苑,,顺庆市政新区清泉寺南路3号,低层(共18层),2014年建造
石油新城东二区,,顺庆市政新区镇江东路二段17号,低层(共6层),2015年建造
蓝光COCO香江,,顺庆清泉坝饮泉路36号,高层(共26层),2015年建造
滨江首座(顺庆),,顺庆滨江大道滨江中路一段407号,中层(共32层),2014年建造
鸿通翡翠城,,顺庆火车北站潆华东路,低层(共26层),2020年建造
悠山丽景,,顺庆华凤潆华南路96号,高层(共6层),2013年建造
蓝光COCO香江,,顺庆清泉坝饮泉路36号,高层(共33层),2016年建造
鸿升凯旋城,,顺庆滨江大道滨江北路一段,高层(共31层),2015年建造
绿地城上海滩花园(二区),,顺庆火车北站潆华北路二段,高层(共28层),2014年建造
欧香小镇,,顺庆白土坝潆华中路二段429号,中层(共29层),2016年建造
春风玫瑰园,,顺庆市政新区万年西路93号,高层(共27层),2013年建造
恒河罗曼威森,,顺庆华凤北湖路99号,低层(共32层),2012年建造
蓝光COCO香江,,顺庆清泉坝饮泉路36号,中层(共27层),2016年建造
中南世纪城,,顺庆滨江大道清澜路二段1号,低层(共27层),2016年建造
香槟小城(二区),,顺庆火车站伍家坡街76号,高层(共11层),2015年建造
欧香小镇,,顺庆白土坝潆华中路二段429号,高层(共31层),2017年建造
中南世纪城,,顺庆滨江大道清澜路二段1号,中层(共26层),2016年建造
欧香小镇,,顺庆白土坝潆华中路二段429号,高层(共32层),2013年建造
铁投锦华府,,顺庆华凤锦程路108号,低层(共26层),2020年建造
蓝润春风屿楠,,顺庆恒大绿洲通江大道,低层(共25层),2019年建造
南充公馆,,顺庆市政新区万年东路36号,中层(共10层),2019年建造
中南世纪城,,顺庆滨江大道清澜路二段1号,中层(共28层),2016年建造
金玉丽都,,顺庆火车站铁欣路308号,高层(共33层),2013年建造
蓝光COCO香江二期,,顺庆清泉坝清池路19号,低层(共25层),2015年建造
香槟小城(二区),,顺庆火车站伍家坡街76号,高层(共11层),2014年建造
博雅豪庭,,顺庆白土坝潆华南路二段158号,中层(共25层),2014年建造
海润滨江,,顺庆滨江大道滨江中路一段,高层(共32层),2013年建造
欧香小镇,,顺庆白土坝潆华中路二段429号,中层(共31层),2017年建造
马电花园,,顺庆市政新区滨江北路二段72号,高层(共11层),2014年建造
欧香小镇,,顺庆白土坝潆华中路二段429号,高层(共31层),2017年建造
欧香小镇,,顺庆白土坝潆华中路二段429号,中层(共31层),2017年建造
欧香小镇,,顺庆白土坝潆华中路二段429号,中层(共31层),2017年建造
嘉航苑,,顺庆北干道大安街63号,低层(共6层),2005年建造
凌凯春天,,顺庆市政新区茂源北路173号,中层(共6层),2012年建造
北星街建行宿舍,,顺庆火车站北星街39号,中层(共8层),2006年建造
凌凯春天,,顺庆市政新区茂源北路173号,低层(共18层),2015年建造
瑞丰花园,,顺庆市政新区清源南路38号,低层(共11层),2012年建造
鸿通南玺台,,顺庆华凤潆华北路一段,中层(共11层),2021年建造
和锦名苑,,顺庆市政新区清泉寺南路31号,高层(共11层),2013年建造
中南世纪城,,顺庆滨江大道清澜路二段1号,低层(共27层),2016年建造
龙吟瑞景,,顺庆市政新区镇江西路一段55号,共3层,2015年建造
绸厂中院宿舍,,顺庆华凤延安路511号,低层(共7层),2000年建造
尚水佳苑,,顺庆市政新区规划八路,中层(共23层),2016年建造
蓝光香江国际,,顺庆南门坝南门北街80号,高层(共34层),2012年建造
欧香小镇,,顺庆白土坝潆华中路二段429号,共5层,2015年建造
佳兆业君临,,顺庆白土坝凤鸣路18号,高层(共25层),2017年建造
欧香小镇,,顺庆白土坝潆华中路二段429号,低层(共31层),2016年建造
鸿升西河星宸,,顺庆华凤高新大道一段202号,,
英伦城邦,,顺庆白土坝白土坝路288号,高层(共33层),2015年建造
铁投锦华府,,顺庆华凤锦程路108号,高层(共26层),2021年建造
春风玫瑰园,,顺庆市政新区万年西路93号,中层(共11层),2014年建造
美宇凤凰城,,顺庆市政新区四海街81号,低层(共6层),2015年建造
马电花园,,顺庆市政新区滨江北路二段72号,中层(共6层),2014年建造
锦绣华庭(顺庆区),,顺庆白土坝华亭路26号,中层(共30层),2017年建造
鸿通南充院子,,顺庆华凤佳华路219号,低层(共11层),2016年建造
铁投锦华府,,顺庆华凤锦程路108号,中层(共11层),2020年建造
佳兆业君汇上品,,顺庆白土坝白土坝路308号,中层(共33层),2014年建造
恒大中航城(二期),,顺庆清泉坝澄泉路,中层(共28层),2019年建造
蓝光雍锦半岛,,顺庆清泉坝澄泉路159号,低层(共32层),2016年建造
中南世纪城,,顺庆滨江大道清澜路二段1号,低层(共25层),2016年建造
金色愿景东苑,,顺庆市政新区清风北路一段58号,中层(共6层),2015年建造
铁投锦华府,,顺庆华凤锦程路108号,低层(共11层),2020年建造
金科集美天宸(二期),,顺庆清泉坝清池路126号,低层(共27层),2020年建造
铁投锦华府,,顺庆华凤锦程路108号,高层(共24层),2020年建造
金色愿景,,顺庆市政新区环都大道二段17号,中层(共28层),2013年建造
铁投锦华府,,顺庆华凤锦程路108号,中层(共11层),2020年建造
明宇帝壹家西区,,顺庆南门坝文峰街二段87号,低层(共7层),2008年建造
清泉小区东区,,顺庆市政新区清风北路二段28号,中层(共6层),2012年建造
恒河常春藤大院,,顺庆市政新区清风南路10号,高层(共7层),2012年建造
春风玫瑰园,,顺庆市政新区万年西路93号,中层(共6层),2009年建造
仁和春天花园,,顺庆华凤潆华南路一段53号,低层(共22层),2017年建造
天府明珠,,顺庆市政新区滨江北路三段56号,中层(共33层),2014年建造
蓝光COCO香江二期,,顺庆清泉坝清池路19号,高层(共26层),2019年建造
石榴紫宸府,,顺庆华凤潆华南路二段,低层(共26层),2021年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,高层(共32层),2015年建造
北岭颐园(北区),,顺庆白土坝潆华南路2段68号,共4层,2007年建造
蓝光COCO香江,,顺庆清泉坝饮泉路36号,高层(共33层),2019年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,中层(共32层),2012年建造
佳兆业君汇上品,,顺庆白土坝白土坝路308号,中层(共33层),2016年建造
江与城(顺庆),,顺庆市政新区清泉寺北路12号,低层(共32层),2015年建造
金色愿景东苑,,顺庆市政新区清风北路一段58号,中层(共6层),2015年建造
欧香小镇,,顺庆白土坝潆华中路二段429号,低层(共31层),2016年建造
马电花园,,顺庆市政新区滨江北路二段72号,中层(共6层),2012年建造
龙吟瑞景,,顺庆市政新区镇江西路一段55号,中层(共6层),2012年建造
铁投锦华府,,顺庆华凤锦程路108号,高层(共26层),2021年建造
铁投锦华府,,顺庆华凤锦程路108号,高层(共24层),2020年建造
锦绣华庭(顺庆区),,顺庆白土坝华亭路26号,中层(共30层),2017年建造
